978867,581041243,581087780,2
978867,581094763,581104511,2
978863,581095635,581109651,2
978867,581107828,581111224,2
978867,581111695,581113238,2
978867,581116975,581120531,2
978863,581117686,581125771,2
978867,581123998,581127364,2
978867,581130610,581133786,2
978866,581105834,581135690,2
978867,581134297,581136111,2
978863,581133005,581139928,2
978867,581139267,581142443,2
978863,581140900,581144597,2
978867,581145889,581149396,2
978865,581119670,581152051,2
978867,581152521,581155998,2
978867,581156409,581158433,2
978863,581151660,581158833,2
978867,581162029,581165576,2
978866,581143194,581167289,2
978867,581168732,581172128,2
978863,581166077,581173240,2
978867,581175475,581178570,2
978867,581178991,581180474,2
978865,581159314,581183850,2
978867,581183770,581187497,2
978863,581180334,581187627,2
978863,581188599,581192326,2
978867,581191004,581195021,2
978866,581174683,581198498,2
978867,581198307,581201413,2
978866,581199510,581203217,2
978867,581201884,581204048,0
978863,581199299,581206242,2
978865,581190903,581215379,2
978865,581216612,581220719,2
978863,581213716,581221701,2
978866,581210390,581234125,2
978863,581228985,581236188,2
978863,581237110,581240577,2
978865,581227773,581251667,2
978863,581247710,581255184,2
978867,581204048,581260975,1
978867,581262919,581264171,2
978866,581241268,581264912,2
978863,581262658,581270012,2
978867,581267407,581278438,2
978865,581258831,581283166,2
978863,581277205,581284289,2
978863,581285230,581288587,2
978867,581281714,581293316,2
978866,581272196,581295610,2
978866,581296602,581300249,2
978863,581295950,581302763,2
978867,581296672,581307662,2
978867,581308143,581309776,2
978865,581290500,581314565,2
978863,581309816,581316719,2
978865,581315718,581319565,2
978867,581313163,581324734,2
978863,581323141,581330545,2
978866,581307692,581331217,2
978863,581331527,581335074,2
978867,581328401,581340354,2
978863,581342438,581349811,2
978865,581326598,581350463,2
978867,581343550,581355041,2
978867,581355452,581357125,2
978866,581338661,581362626,2
978863,581356925,581364229,2
978867,581360592,581371512,2
978863,581371512,581375249,0
978865,581357576,581381771,2
978867,581374668,581386530,2
978866,581369899,581393774,2
978866,581394786,581398142,2
978867,581390247,581401599,2
978867,581402029,581403542,2
978865,581390227,581416166,2
978867,581406748,581418110,2
978865,581417689,581422307,2
978866,581405476,581428990,2
978867,581421516,581433398,2
978863,581375249,581436364,1
978863,581375249,581440131,0
978867,581436684,581447986,2
978867,581448416,581449989,2
978865,581429902,581453416,2
978866,581436294,581460038,2
978867,581453296,581465078,2
978867,581468454,581479034,2
978865,581460259,581483893,2
978866,581467282,581491517,2
978867,581482300,581493531,2
978867,581493972,581495605,0
978866,581492639,581496406,2
978863,581440131,581497048,1
978865,581488291,581511655,2
978865,581512707,581515963,2
978863,581518778,581521203,2
978863,581522385,581526543,2
978866,581503620,581528036,2
